Journal title,Eligible,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
Proceedings of the Royal Society of Medicine,0,Proc R Soc Med,0035-9157,,Royal Society of Medicine Press,7505890,v.70(12);Dec 1977,v.1;1908,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/269/
Progress in Biomaterials,0,Prog Biomater,2194-0509,2194-0517,Springer,101656983,v.7;Dec 2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3120/
Progress in Orthodontics,0,Prog Orthod,1723-7785,2196-1042,Springer,100936353,v.20;2019,v.14;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2274/
Prostate Cancer,0,Prostate Cancer,2090-3111,2090-312X,Hindawi Limited,101567074,v.2018;2018,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1634/
Prostate International,0,Prostate Int,2287-8882,2287-903X,Asian Pacific Prostate Society,101605566,v.6(4);Dec 2018,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2225/
Protein &#x0026; Cell,0,Protein Cell,1674-800X,1674-8018,Springer,101532368,v.10(3);Mar 2019,v.1;2010,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2359/
"Protein Engineering, Design and Selection",0,Protein Eng Des Sel,1741-0126,1741-0134,Oxford University Press,101186484,v.31(7-8);Jul 2018,v.19;2006,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Protein+Eng+Des+Sel%22%5Bjournal%5D
Protein Science : A Publication of the Protein Society,0,Protein Sci,0961-8368,1469-896X,The Protein Society,9211750,v.28(2);Feb 2019,v.1;1992,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/507/
Proteome Science,0,Proteome Sci,,1477-5956,BioMed Central,101170539,v.16;2018,v.1;2003,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/144/
Proteomes,0,Proteomes,,2227-7382,Multidisciplinary Digital Publishing Institute  (MDPI),101621966,v.6(4);Dec 2018,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3131/
Proteomics Insights,0,Proteomics Insights,,1178-6418,SAGE Publications,101520219,v.8;2017,v.5;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2556/
Provincial Medical Journal and Retrospect of the Medical Sciences,0,Prov Med J Retrosp Med Sci,,,BMJ Publishing Group,101484508,"v.7(182);Mar 23, 1844",v.4;1842,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/1346/
Provincial Medical and Surgical Journal,0,Prov Med Surg J,,,BMJ Publishing Group,19840680R,"v.16(26);Dec 22, 1852",v.8;1844,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/535/
Provincial Medical  &#x0026; Surgical Journal,0,Prov Med Surg J (1840),,,BMJ Publishing Group,101484507,"v.3(79);Apr 2, 1842",v.1;1840,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/1345/
Przegla&#x0031c;d Gastroenterologiczny,0,Prz Gastroenterol,1895-5770,1897-4317,Termedia Publishing,101280380,v.13(4);2018,v.8;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2433/
Przegla&#x0031c;d Menopauzalny = Menopause Review,0,Prz Menopauzalny,1643-8876,2299-0038,Termedia Publishing,101263235,v.17(3);Sep 2018,v.13;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2648/
Psoriasis: Targets and Therapy,0,Psoriasis (Auckl),,2230-326X,Dove Press,101709086,v.9;2019,v.5;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3311/
The Psychiatric Bulletin,1,Psychiatr Bull (2014),2053-4868,2053-4876,Royal College of Psychiatrists,101627720,v.38(6);Dec 2014,v.38;2014,Immediate,Some, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2503/
Psychiatry (Edgmont),1,Psychiatry (Edgmont),1550-5952,1555-5194,Matrix Medical Communications,101484252,v.7(12);Dec 2010,v.1;2004,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/901/
Psychiatry Investigation,1,Psychiatry Investig,1738-3684,1976-3026,Korean Neuropsychiatric Association,101242994,v.15(12);Dec 2018,v.5;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1104/
Psychiatry Journal,1,Psychiatry J,2314-4327,2314-4335,Hindawi Limited,101607838,v.2019;2019,v.2013;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2235/
Psychologica Belgica,1,Psychol Belg,0033-2879,2054-670X,Ubiquity Press,67335,v.58(1);2018,v.54;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3396/
The Psychological Clinic,1,Psychol Clin,,,Biomedical Journal Digitization Project,24034,v.23(1-2);Jan-Jun 1935,v.1;1907,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/2446/
Psychology Research and Behavior Management,1,Psychol Res Behav Manag,,1179-1578,Dove Press,101514563,v.12;2019,v.1;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1654/
Psychological Science,1,Psychol Sci,0956-7976,1467-9280,SAGE Publications,9007542,v.29(11);Nov 2018,v.27;2016,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Psychol+Sci%22%5Bjournal%5D
Psychopathology,1,Psychopathology,0254-4962,1423-033X,Karger Publishers,8401537,v.44(2);Jan 2011,v.41;2008,,No, NIH Portfolio , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Psychopathology%22%5Bjournal%5D
Psychopharmacology Bulletin,1,Psychopharmacol Bull,0048-5764,2472-2448,MedWorks Media Inc.,101123,"v.48(4);Jun 20, 2018",v.44;2011,12 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3103/
GMS Psycho-Social-Medicine,1,Psychosoc Med,,1860-5214,German Medical Science,101227682,v.10;2013,v.1;2004,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/891/
Psychotherapy and Psychosomatics,1,Psychother Psychosom,0033-3190,1423-0348,Karger Publishers,24046,v.82(6);Oct 2013,v.78;2009,,Some, NIH Portfolio , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Psychother+Psychosom%22%5Bjournal%5D
Public Health Action,0,Public Health Action,,2220-8372,The International Union Against Tuberculosis and Lung Disease,101624961,"v.8(3);Sep 21, 2018",v.1;2011,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2576/
Public Health Ethics,0,Public Health Ethics,1754-9973,1754-9981,Oxford University Press,101463048,v.11(3);Nov 2018,v.1;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Public+Health+Ethics%22%5Bjournal%5D
Public Health Genomics,0,Public Health Genomics,1662-4246,1662-8063,Karger Publishers,101474167,v.15(3-4);Apr 2012,v.12;2008,,Some, NIH Portfolio , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Public+Health+Genomics%22%5Bjournal%5D
Public Health Papers and Reports,0,Public Health Pap Rep,0737-8769,,American Public Health Association,24060,v.33(Pt 1);1907,v.1;1873,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/487/
Public Health Reports,0,Public Health Rep,0033-3549,1468-2877,SAGE Publications,9716844,v.134(1);Jan-Feb 2019,v.89;1974,12 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/333/
Public Health Reports,0,Public Health Rep,0094-6214,,Association of Schools of Public Health,433021,v.85(12);Dec 1970,v.11;1896,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/347/
Public Health Reviews,0,Public Health Rev,0301-0422,2107-6952,BioMed Central,370123,v.39;2018,v.36;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3387/
Public Opinion Quarterly,0,Public Opin Q,0033-362X,1537-5331,Oxford University Press,19930130R,v.81(3);Sep 2017,v.72;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Public+Opin+Q%22%5Bjournal%5D
Pulmonary Circulation,0,Pulm Circ,2045-8932,2045-8940,SAGE Publications,101557243,v.9(1);Jan-Mar 2019,v.1;2011,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1644/
Pulmonary Medicine,0,Pulm Med,2090-1836,2090-1844,Hindawi Limited,101558762,v.2019;2019,v.2010;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1535/
Pulse,0,Pulse (Basel),2235-8676,2235-8668,Karger Publishers,101644596,v.6(1-2);Jul 2018,v.1;2013,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2679/
Purinergic Signalling,0,Purinergic Signal,1573-9538,1573-9546,Springer,101250499,v.14(4);Dec 2018,v.1;2004,6 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/517/
Quarterly Bulletin of the Northwestern University Medical School,0,Q Bull Northwest Univ Med Sch,,,Northwestern University Feinberg School of Medicine,19220080R,v.36(4);Winter 1962,v.1;1899,,No, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/1207/
Qatar Medical Journal,0,Qatar Med J,0253-8253,2227-0426,QScience,8101648,v.2017(3);2017,v.2012;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2388/
QJM: An International Journal of Medicine,0,QJM,1460-2725,1460-2393,Oxford University Press,9438285,v.111(11);Nov 2018,v.101;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22QJM%22%5Bjournal%5D
Quality in Health Care : QHC,0,Qual Health Care,0963-8172,,BMJ Publishing Group,9209948,v.10(4);Dec 2001,v.1;1992,36 months,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/175/
Quality &#x0026; Safety in Health Care,0,Qual Saf Health Care,1475-3898,1475-3901,BMJ Publishing Group,101136980,v.16(6);Dec 2007,v.11;2002,,No, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/458/
Quantitative Imaging in Medicine and Surgery,0,Quant Imaging Med Surg,2223-4292,2223-4306,AME Publications,101577942,v.8(11);Dec 2018,v.1;2011,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1905/
Royal Society Open Science,1,R Soc Open Sci,,2054-5703,The Royal Society,101647528,v.5(12);Dec 2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2753/
"Radiation Oncology (London, England)",0,Radiat Oncol,,1748-717X,BioMed Central,101265111,v.14;2019,v.1;2006,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/402/
Radiation Oncology Journal,0,Radiat Oncol J,2234-1900,2234-3164,Korean Society for Therapeutic Radiology and Oncology,101577577,v.36(3);Sep 2018,v.29;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1858/
Radiation Protection Dosimetry,0,Radiat Prot Dosimetry,0144-8420,1742-3406,Oxford University Press,8109958,v.182(1);Dec 2018,v.131;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Radiat+Prot+Dosimetry%22%5Bjournal%5D
Radiographics,0,Radiographics,0271-5333,1527-1323,Radiological Society of North America,8302501,v.33(6);Oct 2013,v.29;2009,,No, NIH Portfolio , Now Select ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Radiographics%22%5Bjournal%5D
Radiologia Brasileira,0,Radiol Bras,0100-3984,1678-7099,Colegio Brasileiro De Radiologia,1305000,v.51(6);Nov-Dec 2018,v.47;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2685/
Radiology Case Reports,0,Radiol Case Rep,,1930-0433,Elsevier,101467888,v.14(4);Apr 2019,v.1;2006,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2848/
Radiology and Oncology,0,Radiol Oncol,1318-2099,1581-3207,De Gruyter Open,9317213,v.52(4);Dec 2018,v.44;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1836/
Radiology Research and Practice,0,Radiol Res Pract,2090-1941,2090-195X,Hindawi Limited,101566860,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1635/
Radiology,0,Radiology,0033-8419,1527-1315,Radiological Society of North America,401260,v.270(2);February 2014,v.246;2008,,No, NIH Portfolio , Now Select ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Radiology%22%5Bjournal%5D
Rambam Maimonides Medical Journal,0,Rambam Maimonides Med J,,2076-9172,Rambam Health Care Campus,101538065,v.9(4);Oct 2018,v.1;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2070/
Rand Health Quarterly,0,Rand Health Q,,2162-8254,The RAND Corporation,101622976,v.8(2);Oct 2018,v.1;2011,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2861/
Rare Diseases,0,Rare Dis,,2167-5511,Taylor &#x0026; Francis,101603407,v.4(1);2016,v.1;2013,,Some, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/2206/
Rare Tumors,0,Rare Tumors,2036-3605,2036-3613,SAGE Publications,101526926,v.11;2019,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1377/
Redox Biology,0,Redox Biol,,2213-2317,Elsevier,101605639,v.21;Feb 2019,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2171/
Regenerative Biomaterials,0,Regen Biomater,2056-3418,2056-3426,Oxford University Press,101652150,v.5(5);Oct 2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2842/
Regenerative Medicine,0,Regen Med,1746-0751,1746-076X,Future Science Group,101278116,v.13(1);Jan 2018,v.10;2015,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Regen+Med%22%5Bjournal%5D
Regenerative Medicine Research,0,Regen Med Res,,2050-490X,EDP Sciences,101638057,v.6;2018,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2706/
Regenerative Therapy,0,Regen Ther,,2352-3204,Japanese Society for Regenerative Medicine,101709085,v.10;Jun 2019,v.6;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3542/
Regeneration,0,Regeneration (Oxf),,2052-4412,Wiley-Blackwell,101626574,v.5(1);Mar 2018,v.1;2014,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2868/
Rehabilitation Research and Practice,0,Rehabil Res Pract,2090-2867,2090-2875,Hindawi Limited,101566862,v.2018;2018,v.2010;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1628/
Rejuvenation Research,0,Rejuvenation Res,1549-1684,1557-8577,"Mary Ann Liebert, Inc.",101213381,"v.21(6);Dec 1, 2018",v.11;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Rejuvenation+Res%22%5Bjournal%5D
Renal Failure,0,Ren Fail,0886-022X,1525-6049,Taylor &#x0026; Francis,8701128,v.41(1);2019,v.39;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3421/
Reports of Biochemistry &#x0026; Molecular Biology,0,Rep Biochem Mol Biol,,2322-3480,Varastegan Institute for Medical Sciences,101637937,v.7(1);Oct 2018,v.1;2012,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2859/
Reports of Practical Oncology and Radiotherapy,0,Rep Pract Oncol Radiother,1507-1367,2083-4640,Elsevier,100885761,v.24(2);Mar-Apr 2019,v.15;2010,12 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2269/
Reproductive Biology and Endocrinology : RB&#x0026;E,0,Reprod Biol Endocrinol,,1477-7827,BioMed Central,101153627,v.17;2019,v.1;2003,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/141/
Reproductive Biomedicine &#x0026; Society Online,0,Reprod Biomed Soc Online,,2405-6618,Elsevier,101700286,v.8;Jun 2019,v.1;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3445/
Reproductive Health,0,Reprod Health,,1742-4755,BioMed Central,101224380,v.16;2019,v.1;2004,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/251/
Reproductive Medicine and Biology,0,Reprod Med Biol,1445-5781,1447-0578,"John Wiley & Sons Australia, Ltd on behalf of Japan Society for Reproductive Medicine.",101213278,v.18(1);Jan 2019,v.1;2002,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3326/
Reproductive Sciences,0,Reprod Sci,1933-7191,1933-7205,SAGE Publications,101291249,v.25(9);Sep 2018,v.16;2009,12 months,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Reprod+Sci%22%5Bjournal%5D
Research in Cardiovascular Medicine,0,Res Cardiovasc Med,2251-9572,2251-9580,Kowsar Medical Institute,101608315,v.5(4);Nov 2016,v.1;2012,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/2625/
Research Integrity and Peer Review,0,Res Integr Peer Rev,,2058-8615,BioMed Central,101676020,v.4;2019,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3389/
Research Involvement and Engagement,0,Res Involv Engagem,,2056-7529,BioMed Central,101708164,v.5;2019,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3292/
Research Letters in Biochemistry,0,Res Lett Biochem,1687-6709,1687-6717,Hindawi Limited,101559041,v.2009;2009,v.2008;2008,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/1784/
Research Newsletter,0,Res Newsl,,,Royal College of General Practitioners,16320090R,v.(17);Nov 1957,v.;1953,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/451/
Research in Pharmaceutical Sciences,0,Res Pharm Sci,1735-5362,1735-9414,Wolters Kluwer -- Medknow Publications,101516968,v.13(6);Dec 2018,v.4;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1515/
Research and Practice in Thrombosis and Haemostasis,0,Res Pract Thromb Haemost,,2475-0379,"Wiley Periodicals, Inc. on behalf of International Society on Thrombosis and Haemostasis.",101703775,v.3(1);Jan 2019,v.1;2017,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3430/
Research and Reports in Tropical Medicine,0,Res Rep Trop Med,,1179-7282,Dove Press,101562656,v.9;2018,v.3;2012,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3455/
Research and Reports in Urology,0,Res Rep Urol,,2253-2447,Dove Press,101576971,v.11;2019,v.4;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2214/
Respiratory Care,0,Respir Care,0020-1324,1943-3654,American Association for Respiratory Care (AARC),7510357,v.61(5);May 2016,v.60;2015,Immediate,No, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Respir+Care%22%5Bjournal%5D
Respiratory Medicine Case Reports,0,Respir Med Case Rep,,2213-0071,Elsevier,101604463,v.26;2019,v.5;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2304/
Respiratory Research,0,Respir Res,1465-9921,1465-993X,BioMed Central,101090633,v.20;2019,v.1;2000,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/80/
Respiration,0,Respiration,0025-7931,1423-0356,Karger Publishers,137356,v.85(6);May 2013,v.78;2009,,Some, NIH Portfolio , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Respiration%22%5Bjournal%5D
Respirology Case Reports,0,Respirol Case Rep,,2051-3380,Wiley-Blackwell,101631052,v.7(3);Apr 2019,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2562/
Restorative Dentistry &#x0026; Endodontics,0,Restor Dent Endod,2234-7658,2234-7666,Korean Academy of Conservative Dentistry,101584377,v.43(4);Nov 2018,v.37;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2010/
Results in Immunology,0,Results Immunol,,2211-2839,Elsevier,101568318,v.6;2016,v.1;2011,,Some, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/2219/
Results in Pharma Sciences,0,Results Pharma Sci,,2211-2863,Elsevier,101596331,v.6;2016,v.1;2011,,Some, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/2303/
Retrovirology,0,Retrovirology,,1742-4690,BioMed Central,101216893,v.16;2019,v.1;2004,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/244/
Reumatologia,0,Reumatologia,0034-6233,2084-9834,"National Institute of Geriatrics, Rheumatology and Rehabilitation",20130190R,v.56(6);2018,v.53;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2980/
Revista Brasileira de Cirurgia Cardiovascular : &#x000f3;rg&#x000e3;o oficial da Sociedade Brasileira de Cirurgia Cardiovascular,0,Rev Bras Cir Cardiovasc,,,Sociedade Brasileira de Cirurgia Cardiovascular,9104279,v.30(4);Jul-Aug 2015,v.28;2013,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2596/
Revista Brasileira de Hematologia e Hemoterapia,0,Rev Bras Hematol Hemoter,1516-8484,1806-0870,Sociedade Brasileira de Hematologia e Hemoterapia,101220159,v.39(4);Oct-Dec 2017,v.33;2011,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/1792/
Revista Brasileira de Ortopedia,0,Rev Bras Ortop,,2255-4971,Brazilian Society of Orthopedics and Traumatology,101660959,v.53(6);Nov-Dec 2018,v.44;2009,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2751/
Revista Brasileira de Terapia Intensiva,0,Rev Bras Ter Intensiva,0103-507X,1982-4335,Associa&#x00e7;&#x00e3;o de Medicina Intensiva Brasileira,9506692,v.30(4);Oct-Dec 2018,v.24;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2378/
The Review of Diabetic Studies : RDS,0,Rev Diabet Stud,1613-6071,1614-0575,Society for Biomedical Diabetes Research,101227575,v.14(4);Winter 2017,v.1;2004,12 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/392/
Revista Espa&#x000f1;ola de Quimioterapia,0,Rev Esp Quimioter,0214-3429,1988-9518,Sociedad Espa&#x000f1;ola de Quimioterapia,9108821,v.31(6);Dec 2018,v.31;2018,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3489/
Revista Espa&#x000f1;ola de Sanidad Penitenciaria,0,Rev Esp Sanid Penit,1575-0620,2013-6463,Sociedad Espa&#x000f1;ola de Sanidad Penitenciaria,101284897,v.20(2);2018,v.19;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3493/
Revista do Instituto de Medicina Tropical de S&#x000e3;o Paulo,0,Rev Inst Med Trop Sao Paulo,0036-4665,1678-9946,Instituto De Medicina Tropical De Sao Paulo,7507484,v.61;2019,v.55;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2484/
Revista Latino-Americana de Enfermagem,0,Rev Lat Am Enfermagem,0104-1169,1518-8345,"Escola de Enfermagem de Ribeirao Preto, Universidade de Sao Paulo",9420934,v.27;2019,v.22;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2571/
Reviews in Obstetrics and Gynecology,0,Rev Obstet Gynecol,1941-2797,2153-8166,"MedReviews, LLC",101479674,v.6(3-4);2013,v.1;2008,,No, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/667/
Reviews in Pain,0,Rev Pain,,,SAGE Publications,101603318,v.5(4);Dec 2011,v.1;2007,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2773/
Revista Paulista de Pediatria,0,Rev Paul Pediatr,0103-0582,1984-0462,Sociedade De Pediatria De Sao Paulo,9109353,v.36(4);Oct-Dec 2018,v.31;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2569/
Revista de Sa&#x000fa;de P&#x000fa;blica,0,Rev Saude Publica,0034-8910,1518-8787,Universidade de S&#x00E3;o Paulo. Faculdade de Sa&#x000fa;de P&#x000fa;blica.,135043,v.52;2018,v.47;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2570/
The Review of Scientific Instruments,0,Rev Sci Instrum,0034-6748,1089-7623,American Institute of Physics,405571,v.89(12);Dec 2018,v.79;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Rev+Sci+Instrum%22%5Bjournal%5D
Reviews in Urology,0,Rev Urol,1523-6161,2153-8182,"MedReviews, LLC",100889067,v.20(3);2018,v.1;1999,1 month,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/373/
Rheumatology and Therapy,0,Rheumatol Ther,2198-6576,2198-6584,Springer,101674543,v.5(2);Dec 2018,v.1;2014,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3008/
"Rheumatology (Oxford, England)",0,Rheumatology (Oxford),1462-0324,1462-0332,Oxford University Press,100883501,v.58(2);Feb 2019,v.47;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Rheumatology+(Oxford)%22%5Bjournal%5D
Rice,0,Rice (N Y),1939-8425,1939-8433,Springer,101503136,v.12;2019,v.5;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2256/
Risk Management and Healthcare Policy,0,Risk Manag Healthc Policy,,1179-1594,Dove Press,101566264,v.12;2019,v.1;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1703/
RMD Open,0,RMD Open,,2056-5933,BMJ Publishing Group,101662038,v.5(1);2019,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2836/
RNA,0,RNA,1355-8382,1469-9001,The RNA Society,9509184,v.25(1);Jan 2019,v.1;1995,12 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/329/
RNA Biology,0,RNA Biol,1547-6286,1555-8584,Taylor &#x0026; Francis,101235328,v.15(4-5);2018,v.6;2009,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1369/
Robotic Surgery: Research and Reviews,0,Robot Surg,,2324-5344,Dove Press,101703383,v.5;2018,v.3;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3548/
Romanian Journal of Anaesthesia and Intensive Care,0,Rom J Anaesth Intensive Care,2392-7518,2502-0307,Romanian Society of Anaesthesia and Intensive Care,101681752,v.25(2);Oct 2018,v.21;2014,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3238/
